marketplace,customer_id,review_id,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,41099022,R59VGL4HIPFDP,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,1,0,1,N,Y,One Star,garbage,31-08-2015
US,15744366,R3GR0Z9Z4Z1295,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,1,0,0,N,N,Doesn't work as advertised,"Didn't work as advertised, there was no sound and it wouldn't record. Returned for refund.",31-08-2015
US,46165193,R8R09HXXQHIWN,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,1,0,0,N,Y,One Star,Setup way to complicated for the average user.,30-08-2015
US,31009192,R19JT1LFVNATBG,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,5,0,0,N,N,We love the camera but had a lot of difficulty setting ...,We purchased a Foscam about 6 months ago. We love the camera but had a lot of difficulty setting it up on our own. The instructions are not written for non-tech davy individuals like ourselves. We called Foscam support and there was a 20 minute wait but it was definitely worth the time. John was very helpful and fixed our problem with ease. He connected to our computer remotely and was able to do it without having to try to explain it. I definitely would not have been able to understand it. We recommend this camera and the Foscam support.,30-08-2015
US,52865176,R2SCARC7V2J64P,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,2,0,0,N,N,Saved Grandma but camera died after 2 yrs,"Worked for 2 yrs as a 'granny cam' and saved her after a fall. I was able to scan around until I found her on the floor unable to get up. I summoned help. Yes the installation is infuriating and hopeless to talk not too savvy computer people through remotely. But my main beef is that the camera died after 2 yrs of light use ... display degenerated into vertical streaks then nothing.  Exactly after 2 yr coverage window provided by my Citibank card, clever engineers. The other 3 Foscam cameras are going strong, the 2 older/lower res models after 3 yrs. Sigh, I guess I'll buy another one because there is *still* no competitor at reasonable (&#60;$100) price that is more robust. If I had time, I'd tear this crap down to figure out what fried.",29-08-2015
US,3282316,R10WZ8I85SRCMK,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,1,0,0,N,Y,get what you pay for,"I bought this with reading all these reviews,I wanted it mainly to see what my dog does all day and security. But it wouldn't hook up to your wifi at all and then it just stopped showing the picture all together. Set up was difficult. No wonder it was for such a great price...",28-08-2015
US,14005127,RN51K25SFP9LC,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,1,0,0,N,Y,Completely and totally unreliable,It's basically impossible to make this camera/feed work consistently. It is unbelievably frustrating and a waste of money.,27-08-2015
US,37183268,R2TE5F2DGA9Q2T,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,3,0,0,N,Y,Three Stars,AC Adapter died after 1 year,27-08-2015
US,48954925,R2J7XTAUP2H3XZ,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,5,0,1,N,N,"I'm not very camera smart, but this was the easiest setup I could ...","Thank you John, for being so helpful in setting up my camera. I'm not very camera smart, but this was the easiest setup I could ever imagine. I highly recommend FOSCAM F18919W, and there team support, especially John. Thank you once again.",26-08-2015
US,14455954,R2P8V1C2RGDMSB,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,4,0,0,N,Y,Four Stars,works well,26-08-2015
US,28399081,R3ESO8PQNRXIEK,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,1,0,0,N,Y,Wakes your kids up at night with loud clicking - be aware,"Video is ok, set up is rather easy although not well explained, especially for iOS. However, both my Foscam monitors clicks very loudly throughout day and night, waking up my kids every single night. Both my monitors are now in the attic collecting dusts.",26-08-2015
US,36144161,R3K1ZLY9BTIEPG,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,1,0,0,N,N,Not a simple install.,"Stay away from this company. There are others on the market with a much easier installation system. Hours and hours of time spent on the internet attempting to learn how to setup this device is plain silly. After 8 hours of on and off attempts,  it still does not connect correctly. I'm going to toss this junk in the trash and go with someone else.  If you want a baby monitor this is your device. If you want to remote view your home on a smart phone forget it.",26-08-2015
US,13511066,R2A4HOTN7Z5DKN,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,5,0,1,N,Y,Great Product and Service!!!,"Awesome Camera and Awesome service with Patrick from Foscam Remote Install Service!!! Great product! Patrick was very helpful, very articulate for service from India. I write India because I always ask customer service agents where they are located so I can get a better understanding. Foscam did a great job with their outsource choice. The install service was free with the product I am assuming or Patrick was just that nice. Great job!",24-08-2015
US,35879286,R22RF1UQ2EKIYG,Foscam FI8910W Wireless/Wired Pan & Tilt IP/Network Camera with IR-Cut Filter for True Color Images - 8 Meter Night Vision and 3.6mm Lens (67° Viewing Angle) NEWEST MODEL,Camera,5,0,0,N,Y,Great for baby monitor!,We now have 3 of these around the house. They work well & allow me to keep an eye on my kids while they're in their rooms! Love them!,24-08-2015
